route,direction,start_km,end_km,hot_bins,quiet_bins,accidents,deaths,injuries,hot_km,causes
경부선,서울,298,313,3,6,31,1,26,"305(7), 306(7), 309(5)","주시태만 22, 기타 5, 졸음 3, 과속 1"
경부선,부산,358,373,3,6,28,4,25,"360(9), 362(4), 372(6)","주시태만 11, 기타 7, 과속 5, 타이어파손 2, 무단보행 1, 차량부품이탈 1, 졸음 1"
남해선,순천,90,105,3,6,27,1,16,"100(6), 101(4), 104(5)","주시태만 11, 졸음 5, 과속 5, 기타 4, 차량부품이탈 1, 제동장치 1"
수도권제1순환선,일산,107,122,3,7,21,2,8,"109(6), 112(4), 121(4)","주시태만 12, 과속 4, 기타 3, 졸음 1, 차량부품이탈 1"
영동선,인천,47,62,2,6,27,2,12,"58(4), 59(5)","주시태만 16, 기타 4, 과속 4, 졸음 3"
수도권제1순환선,일산,69,84,2,6,25,5,5,"76(6), 82(6)","주시태만 14, 과속 4, 졸음 3, 기타 3, 제동장치 1"
무안광주선,광주,22,37,2,6,24,0,5,"27(6), 28(7)","주시태만 20, 안전거리미확보 3, 졸음 1"
경부선,부산,139,154,2,6,23,1,10,"151(4), 152(4)","주시태만 14, 안전거리미확보 4, 졸음 4, 기타 1"
남해선,부산,71,86,2,7,23,1,13,"71(6), 82(7)","기타 6, 과속 6, 주시태만 5, 졸음 4, 타이어파손 1, 차량부품이탈 1"
제2경인선,인천,7,22,2,6,21,2,4,"13(4), 17(7)","주시태만 11, 과속 5, 기타 3, 졸음 1, 타이어파손 1"
남해선,순천,74,89,2,6,20,2,7,"74(4), 76(6)","주시태만 8, 졸음 5, 기타 2, 과속 2, 타이어파손 1, 제동장치 1, 안전거리미확보 1"
영동선,강릉,70,85,2,6,20,2,12,"73(4), 79(5)","주시태만 6, 졸음 6, 과속 4, 타이어파손 2, 무단보행 1, 기타 1"
중부내륙선,양평,251,266,2,6,20,4,12,"253(5), 264(4)","주시태만 8, 기타 5, 졸음 5, 과속 1, 안전거리미확보 1"
중부선,하남,346,361,2,6,19,2,8,"359(4), 360(4)","주시태만 10, 졸음 6, 기타 2, 과속 1"
영동선,인천,82,97,2,6,18,2,11,"86(4), 95(4)","주시태만 7, 기타 4, 과속 4, 졸음 2, 제동장치 1"
남해선,부산,93,108,2,6,17,0,8,"100(4), 105(4)","기타 6, 주시태만 4, 졸음 3, 과속 3, 차량부품이탈 1"
영동선,강릉,207,222,2,7,17,1,19,"209(4), 211(4)","졸음 5, 기타 4, 과속 4, 주시태만 3, 안전거리미확보 1"
경부선,부산,265,280,2,6,15,4,6,"268(4), 274(4)","주시태만 7, 졸음 3, 과속 3, 기타 2"
서해안선,목포,291,306,2,8,14,3,11,"291(4), 305(4)","주시태만 10, 기타 3, 과속 1"
