road_id,s_m,km,name,route,route_cd,direction,direction_sign
r1-0,1090.0,1.4,0010VDE00100,경부선,0010,E,1
r1-0,2090.0,2.4,0010VDE00200,경부선,0010,E,1
r1-0,2990.0,3.3,0010VDE00300,경부선,0010,E,1
r1-0,4190.0,4.5,0010VDE00401,경부선,0010,E,1
r1-0,4800.0,5.1,0010VDE00500,경부선,0010,E,1
r1-0,6000.0,6.3,0010VDE00600,경부선,0010,E,1
r1-0,7000.0,7.3,0010VDE00700,경부선,0010,E,1
r1-0,8100.0,8.4,0010VDE00801,경부선,0010,E,1
r1-0,8900.0,9.2,0010VDE00900,경부선,0010,E,1
r1-0,9700.0,10.0,0010VDE01001,경부선,0010,E,1
r1-0,10790.0,11.1,0010VDE01100,경부선,0010,E,1
r1-0,11590.0,11.9,0010VDE01200,경부선,0010,E,1
r1-0,12490.0,12.8,0010VDE01300,경부선,0010,E,1
r1-0,14080.0,14.4,0010VDE01500,경부선,0010,E,1
r1-0,15180.0,15.5,0010VDE01600,경부선,0010,E,1
r1-0,16180.0,16.5,0010VDE01700,경부선,0010,E,1
r1-0,17880.0,18.2,0010VDE01900,경부선,0010,E,1
r1-0,18780.0,19.1,0010VDE02000,경부선,0010,E,1
r1-0,19780.0,20.1,0010VDE02100,경부선,0010,E,1
r1-0,20580.0,20.9,0010VDE02200,경부선,0010,E,1
r1-0,21380.0,21.7,0010VDE02300,경부선,0010,E,1
r1-0,22380.0,22.7,0010VDE02400,경부선,0010,E,1
r1-0,23180.0,23.5,0010VDE02500,경부선,0010,E,1
r1-0,24180.0,24.5,0010VDE02600,경부선,0010,E,1
r1-0,25080.0,25.4,0010VDE02700,경부선,0010,E,1
r1-0,26180.0,26.5,0010VDE02800,경부선,0010,E,1
r1-0,26980.0,27.3,0010VDE02850,경부선,0010,E,1
r1-0,27180.0,27.5,0010VDE02900,경부선,0010,E,1
r1-0,28180.0,28.5,0010VDE03000,경부선,0010,E,1
r1-0,28780.0,29.1,0010VDE03100,경부선,0010,E,1
r1-0,29980.0,30.3,0010VDE03200,경부선,0010,E,1
r1-0,30880.0,31.2,0010VDE03300,경부선,0010,E,1
r1-0,31880.0,32.2,0010VDE03400,경부선,0010,E,1
r1-0,32780.0,33.1,0010VDE03500,경부선,0010,E,1
